"ID","Name","Type","Rarity"
"Body.SportsCar.HydeT1","Magnifique","Car","None"
"Body.SportsCar.HydeT2","Magnifique GXT","Car","None"
"Body.SportsCar.Import","Takumi","Car","None"
"Body.SportsCar.Interceptor","Ripper","Car","None"
"Body.SportsCar.IvoryCascade","Lamborghini Temerario GT3","Car","Lamborghini"
"Body.SportsCar.Jam","Porsche 911 GT3 RS","Car","Porsche"
"Body.SportsCar.Jekyll","Corlay","Car","None"
"Body.SportsCar.Jinn","Redline","Car","None"
"Body.SportsCar.Keanu","Mako","Car","None"
"Body.SportsCar.KusanagiT1","Ronin","Car","None"
"Body.SportsCar.KusanagiT2","Ronin G1","Car","None"
"Body.SportsCar.KusanagiT3","Ronin GXT","Car","None"
"Body.SportsCar.LawnAero","?INT?Product","Car","None"
"Body.SportsCar.Legojinn","?INT?Product","Car","None"
"Body.SportsCar.Levain","Werewolf","Car","None"
"Body.SportsCar.Macht","Mercedes-AMG GT 63 S","Car","Mercedes"
"Body.SportsCar.Maddog","?INT?Product","Car","None"
"Body.SportsCar.Magnet","Ford Mustang Shelby GT500","Car","Ford"
"Body.SportsCar.MangoT1","Guardian","Car","None"
"Body.SportsCar.MangoT2","Guardian G1","Car","None"
"Body.SportsCar.MangoT3","Guardian GXT","Car","None"
"Body.SportsCar.Manual","Pontiac Firebird","Car","Ponitac"
"Body.SportsCar.Maser","Mamba","Car","None"
"Body.SportsCar.Melonpan","Fast & Furious Nissan Skyline","Car","Nissan"
"Body.SportsCar.Mitty","Komodo","Car","None"
"Body.SportsCar.MoonFlaxSportsCar","Lockjaw","Car","None"
"Body.SportsCar.Multigrain","Imperator DT5","Car","None"
"Body.SportsCar.Musclecar","Dominus","Car","None"
"Body.SportsCar.MuscleCar2","Dominus GT","Car","None"
"Body.SportsCar.NeoCar","Masamune","Car","None"
"Body.SportsCar.NeoBike","Esper","Car","None"
"Body.SportsCar.NeptuneShell","?INT?Product","Car","None"
"Body.SportsCar.Nerd","Nissan Skyline GT-R (R32)","Car","Nissan"
"Body.SportsCar.NortonT1","Nexus","Car","None"
"Body.SportsCar.NortonT2","Nexus SC","Car","None"
"Body.SportsCar.Numb","Aston Martin Valhalla","Car","Aston Martin"
"Body.SportsCar.Number6","Proteus","Car","None"
"Body.SportsCar.O2","Octane ZSR","Car","None"
"Body.SportsCar.Oblong","Lamborghini Huracán STO","Car","Lamborghini"
"Body.SportsCar.Octane","Octane","Car","None"
"Body.SportsCar.ODB","Admiral","Car","None"
"Body.SportsCar.Peach","Insidio","Car","None"
"Body.SportsCar.Pete","Fast & Furious Mazda RX-7","Car","None"
"Body.SportsCar.Pickle","Void Burn","Car","None"
"Body.SportsCar.Pixie","Lightning McQueen","Car","Kachow!"
"Body.SportsCar.Pumpernickel","Centio","Car","None"
"Body.SportsCar.Quartz","007's Aston Martin DBS","Car","Aston Martin"
"Body.SportsCar.RaddishT1","Tyranno","Car","None"
"Body.SportsCar.RaddishT2","Tyranno GXT","Car","None"
"Body.SportsCar.Rafael","Ferrari 296 GTB","Car","Ferrari"
"Body.SportsCar.Rage","Lamborghini Countach LPI 800-4","Car","Lamborghini"
"Body.SportsCar.Ramen","Dingo","Car","None"
"Body.SportsCar.Ran","McLaren 765LT","Car","McLaren"
"Body.Sportscar.Rebar","Diesel","Car","None"
"Body.Sportscar.Retro","Nimbus","Car","None"
"Body.SportsCar.Ron","McLaren 570S","Car","McLaren"
"Body.SportsCar.RattrapT1","Outlaw","Car","None"
"Body.SportsCar.RattrapT2","Outlaw GXT","Car","None"
"Body.SportsCar.Ruckus","Xentari","Car","None"
"Body.Sportscar.RyeT1","Maverick","Car","None"
"Body.Sportscar.RyeT2","Maverick G1","Car","None"
"Body.Sportscar.RyeT3","Maverick GXT","Car","None"
"Body.SportsCar.RyzaRevT1","Ryza Trophy","Car","None"
"Body.SportsCar.RyzaRevT2","Ryza T60","Car","None"
"Body.SportsCar.Safari","?INT?Product","Car","None"
"Body.SportsCar.ScarA","NASCAR Next Gen Ford Mustang","Car","None"
"Body.SportsCar.ScarB","NASCAR Next Gen Chevrolet Camaro","Car","None"
"Body.SportsCar.ScarC","NASCAR Next Gen Toyota Camry","Car","None"
"Body.SportsCar.Sassy","Nissan Z Performance","Car","Nissan"
"Body.SportsCar.SeasaltT1","Nissan Silvia","Car","Nissan"
"Body.SportsCar.SeasaltT2","Nissan Silvia RLE","Car","Nissan"
"Body.SportsCar.Seba","Quadra Turbo-R","Car","None"
"Body.SportsCar.Shark","Peregrine TT","Car","None"
"Body.Sportscar.Sixty","BMW M240i","Car","BMW"
"Body.SportsCar.Skunkz","Primo","Car","None"
"Body.Sportscar.Slick","Megastar","Car","None"
"Body.SportsCar.Smitty","?INT?Product","Car","None"
"Body.SportsCar.Smoke","1966 Cadillac DeVille","Car","Icon"
"Body.SportsCar.Sourdough","Jäger 619","Car","None"
"Body.SportsCar.Spark","Gizmo","Car","None"
"Body.SportsCar.Spartan","Beskar","Car","Star Wars"
"Body.SportsCar.Spike","Havoc","Car","None"
"Body.SportsCar.Scaled","?INT?Product","Car","None"
"Body.SportsCar.SportyTack","Zefira","Car","None"
"Body.SportsCar.Sprinkle","Homer's Car","Car","None"
"Body.SportsCar.Squash","Cyclone","Car","None"
"Body.SportsCar.StubbyHog","BMW M2 Racing","Car","BMW"
"Body.SportsCar.SuperCar","?INT?Product","Car","None"
"Body.SportsCar.SuperOmega","Maven","Car","None"
"Body.SportsCar.Ten","Bugatti Centodieci","Car","Bugatti"
"Body.SportsCar.Thorn","?INT?Product","Car","None"
"Body.SportsCar.Thrice","Fuse","Car","None"
"Body.SportsCar.Tomahawk","Jackal","Car","None"
"Body.SportsCar.Tomb","Batmobile (2022)","Car","DC"
"Body.SportsCar.Topple","BMW M4 GT3 EVO","Car","BMW"
"Body.SportsCar.Torment","Hotshot","Car","None"
"Body.SportsCar.TurtleModem","?INT?Product","Car","None"
"Body.SportsCar.Twinzer","Twinzer","Car","None"
"Body.SportsCar.UnicornT1","R3MX","Car","None"
"Body.SportsCar.UnicornT2","R3MX GXT","Car","None"
"Body.SportsCar.Vanquish","Merc","Car","None"
"Body.SportsCar.Venom","Venom","Car","None"
"Body.SportsCar.Wheatbread","Samurai","Car","None"
"Body.SportsCar.ZakuT1","Shokunin","Car","None"
"Body.SportsCar.ZakuT2","Shokunin GXT","Car","None"
"Body.SportsCar.ZedThirty","Nissan 350Z","Car","Nissan"
"Body.SportsCar.Zippy","Zippy","Car","None"
"Body.SportsCar.Zrf","Fennec ZR-F","Car","None"
"Body.SportsCar.Zuse","Revolver","Car","None"
"Body.SUV.Banjo","The Mystery Machine","Car","None"
"Body.SUV.Basic","Trailsmasher","Car","None"
"Body.SUV.BB","Battle Bus","Car","None"
"Body.SUV.BlueTorque","Porsche Cayenne Turbo Electric","Car","None"
"Body.SUV.Brigand","?INT?Product","Car","None"
"Body.SUV.CondorMotor","GMC Sierra 2500 AT4X","Car","GMC"
"Body.SUV.Drof","Ford F-150 RLE","Car","Ford"
"Body.SUV.Fbrn","Ford Bronco Raptor RLE","Car","Ford"
"Body.SUV.Frog","Turtle Van","Car","Frog"
"Body.SUV.Future","Tesla Cybertruck","Car","Tesla"
"Body.SUV.Galaxy","Chevrolet Astro","Car","Chevrolet"
"Body.SUV.Greenclaw","Pizza Planet Delivery Truck","Car","None"
"Body.SUV.Lawrence","Defender D7X-R","Car","Defender"
"Body.SUV.Legs","Recoil AV","Car","None"
"Body.SUV.Lime","Stampede","Car","None"
"Body.SUV.Lionsmane","Patty Wagon","Car","None"
"Body.SUV.Maple","Jurassic Jeep® Wrangler","Car","None"
"Body.SUV.MoonFlaxSUV","Behemoth","Car","None"
"Body.SUV.Mudpie","Jeep Wrangler Rubicon","Car","Jeep"
"Body.SUV.Rhino","Road Hog","Car","None"
"Body.SUV.Rhino2","Road Hog XL","Car","None"
"Body.SUV.Rio","Ram 1500 RHO","Car","RAM"
"Body.SUV.SandScreen","?INT?Product","Car","None"
"Body.SUV.SandTote","?INT?Product","Car","None"
"Body.SUV.SheepBolt","Rivian R1S","Car","Rivian"
"Body.SUV.Spiquish","?INT?Product","Car","None"
"Body.SUV.TagTiger","Chrysler Pacifica","Car","Chrysler"
"Body.SUV.Tomato1","?INT?Product","Car","None"
"Body.SUV.Vanquish","Merc","Car","None"
"Body.SUV.WastelandTruck","Grog","Car","None"
"Body.SUV.Wedding","Hearse","Car","None"
"Body.SUV.Wurst","Lamborghini Urus SE","Car","Lamborghini"
"Booster.AlienLiquidPSP","Xenosplash: O+B","Boost","None"
"Booster.AnimeT1","Shining Barrage I","Boost","None"
"Booster.AnimeT2","Shining Barrage II","Boost","None"
"Booster.AstralRadiance","Lunaria","Boost","None"
"Booster.Aurora","Ethereal","Boost","None"
"Booster.Aurum","Gold Crush","Boost","None"
"Booster.Aventurine","Leek Beam","Boost","Icon"
"Booster.AW","Front Row","Boost","None"
"Booster.Banjo","Mystery Groove","Boost","None"
"Booster.Baseball","Baseball","Boost","None"
"Booster.Big","Heat Ray","Boost","None"
"Booster.BlackFlame","Dark Flame","Boost","None"
"Booster.BlightShield01","Soul Reaper Rush","Boost","None"
"Booster.BlueBolt","Synthpop","Boost","None"
"Booster.Boba","Boba Tea","Boost","None"
"Booster.CelestialSpark","PopHaze","Boost","None"
"Booster.Chrome","Crossfade","Boost","None"
"Booster.ColorTrip","Color Rush","Boost","None"
"Booster.Core","Corbital","Boost","None"
"Booster.Courgette01","Remy's Taste","Boost","None"
"Booster.CrazyShapes","Trapperzoid","Boost","None"
"Booster.CyberSecurity","Futurist","Boost","None"
"Booster.Dagger","Bladeblast","Boost","None"
"Booster.Daikon","Floeburner","Boost","None"
"Booster.DarkFlame","Electrolic","Boost","None"
"Booster.DarkMagic","Sear Cell","Boost","None"
"Booster.Daynight","Starlane","Boost","None"
"Booster.DecoBlue","Blazed Matrix","Boost","None"
"Booster.DecoRed","Jet Streamers","Boost","None"
"Booster.Disco","Disco Ball","Boost","None"
"Booster.Dragoncat","Soundrave","Boost","Icon"
"Booster.DragoncatLTE","Synth-Sonic","Boost","None"
"Booster.Drof","Ford F-150 RLE","Boost","Ford"
"Booster.Drofb","Union Beams","Boost","None"
"Booster.DyePacket","Bell Saver","Boost","None"
"Booster.Eclipse","Eclipse","Boost","None"
"Booster.Edge","Krackle","Boost","None"
"Booster.Eggplant","Batmobile (1989)","Boost","DC"
"Booster.Electrobeam_fg","Fallout","Boost","None"
"Booster.ElectroGalactic","Electrogalactic","Boost","None"
"Booster.Elements","Avatar Elemental","Boost","None"
"Booster.Energyburst","Cirrus","Boost","None"
"Booster.Energystrike","Enchanter","Boost","None"
"Booster.EvilOrnament01","Force Lightning","Boost","Star Wars"
"Booster.EvilOrnament02","Unstable Red Lightsaber","Boost","Star Wars"
"Booster.Fallingstar","StarStud","Boost","None"
"Booster.Feline","K.I.T.T.","Boost","None"
"Booster.Firelines","Comet","Boost","None"
"Booster.Fireworks","Fireworks","Boost","None"
"Booster.ForestSpirit","Foliage","Boost","None"
"Booster.FrogLTE2","TCRI Ooze","Boost","None"
"Booster.Future","Beast Mode","Boost","Tesla"
"Booster.GenieSmoke","Whimsy Wisp","Boost","None"
"Booster.GlitchyBit","Bitcrush","Boost","None"
"Booster.GlitchPSPlus","Glitch P+M","Boost","None"
"Booster.GoldBars","Champion's Gold","Boost","None"
"Booster.GoldenLychee01","Sonic Invincibility","Boost","None"
"Booster.GoldenOutline","Tsuzure","Boost","None"
"Booster.Gray","AC Milan (Puma x Off-White)","Boost","PUMA"
"Booster.GreyCar","OutaTime","Boost","None"
"Booster.Helix","Cure","Boost","None"
"Booster.Hero","Frozone's Super Blast","Boost","None"
"Booster.HHBanjoLTE01","Scooby Snacks","Boost","None"
"Booster.HoloGlass","Holo-Hype","Boost","None"
"Booster.HoneyBees","Bee Hive","Boost","None"
"Booster.Ht","Oogie's Worms","Boost","None"
"Booster.Infernovortex","RipRibbon","Boost","None"
"Booster.Infinite","In-Finite","Boost","None"
"Booster.InfraredGlow","Infrared","Boost","None"
"Booster.KittyBasic","PUMA Shoebox","Boost","PUMA"
"Booster.Koi","Colorful Koi","Boost","None"
"Booster.Lake","Cool Spring","Boost","None"
"Booster.Lava2","Red Lightsaber","Boost","Star Wars"
"Booster.Lifeline","Lifeline","Boost","None"
"Booster.Lightning","Lightning","Boost","None"
"Booster.LightRay","Swave","Boost","None"
"Booster.LightSheen","Glare","Boost","None"
"Booster.LightTrail","Ion","Boost","None"
"Booster.Lightwave","Proton","Boost","None"
"Booster.LionsMane01","Jelly Power","Boost","None"
"Booster.LPFire","2.5D","Boost","None"
"Booster.LuminousAirplaneLTE01","Jordan Joga Sinistro","Boost","None"
"Booster.Magical","Misteek","Boost","None"
"Booster.MagicFire","Incantor","Boost","None"
"Booster.MagicSplash","Sea Spray","Boost","None"
"Booster.Magma","Molten","Boost","None"
"Booster.Meteors","Geo Soul","Boost","None"
"Booster.Modish","Cosmic Cube","Boost","None"
"Booster.Mooncake","Tornado Boost","Boost","None"
"Booster.MusicalNotes","Accelerato","Boost","None"
"Booster.Necromancer","Rocketmancer","Boost","None"
"Booster.Neonsoul","Gaseous","Boost","None"
"Booster.NumbLTE01","Gryffindor Scarf","Boost","None"
"Booster.NumbLTE02","Hufflepuff Scarf","Boost","None"
"Booster.NumbLTE03","Ravenclaw Scarf","Boost","None"
"Booster.NumbLTE04","Slytherin Scarf","Boost","None"
"Booster.Nutsbolts","Nuts & Bolts","Boost","None"
"Booster.Octo","Octonox","Boost","None"
"Booster.Paladin","Manga Magma","Boost","None"
"Booster.ParalyzingFear","Dark Fire","Boost","None"
"Booster.Plasma","Plasma","Boost","None"
"Booster.PlasmaEnergy","Chemergy","Boost","None"
"Booster.PlasmaenergyBW","Chemergency","Boost","None"
"Booster.Plexus","Trinity","Boost","None"
"Booster.PopStar","Starry","Boost","None"
"Booster.Powerbeam","Mosher","Boost","None"
"Booster.PsyDrill","Firecrack","Boost","None"
"Booster.PulsedEnergy","Sonic Boom","Boost","None"
"Booster.Pumpkin","Scary Pumpkin","Boost","None"
"Booster.RageUnleashed","Spiritus","Boost","None"
"Booster.Rainbow23","Toon Rainbow","Boost","None"
"Booster.Ramen","Ramen Roller","Boost","None"
"Booster.Retrostrips","Throwback","Boost","None"
"Booster.Retrotech","Synthwave","Boost","None"
"Booster.RLCS2401","RLCS Birmingham Major 2025","Boost","None"
"Booster.RLCSRaleigh","RLCS Raleigh Major 2025","Boost","None"
"Booster.S11sr01","S11 - Bronze","Boost","None"
"Booster.S19ChampionsRoad","Champ Helix","Boost","None"
"Booster.S21Rewards01","S20 Bronze","Boost","None"
"Booster.S21Rewards02","S20 Silver","Boost","None"
"Booster.S21Rewards03","S20 Gold","Boost","None"
"Booster.S21Rewards04","S20 Platinum","Boost","None"
"Booster.S21Rewards05","S20 Diamond","Boost","None"
"Booster.S21Rewards06","S20 Champion","Boost","None"
"Booster.S21Rewards07","S20 Grand Champion","Boost","None"
"Booster.S21Rewards08","S20 Supersonic Legend","Boost","None"
"Booster.S21RLCS","Successory","Boost","None"
"Booster.S22RLCS01","Slaymaker","Boost","None"
"Booster.Sakura","Sakura","Boost","None"
"Booster.SandstormOnline","Sandstorm","Boost","None"
"Booster.SkullChromatic","Skelly","Boost","None"
"Booster.Slimefire","Slimefire","Boost","None"
"Booster.Soulfire","Soulmesh","Boost","None"
"Booster.Spacetear","Fissure","Boost","None"
"Booster.SphereGulp01","Fifa 2026","Boost","None"
"Booster.Spellwarm","YouVee","Boost","None"
"Booster.Splitenergy","Wing Wraith","Boost","None"
"Booster.SpringtimeFlowers","Springtime Flowers","Boost","None"
"Booster.Sprinkle","Mobile Tire Fire","Boost","None"
"Booster.SprinkleLTE03","Ribwich Fever","Boost","None"
"Booster.Standard","Standard","Boost","None"
"Booster.StarBeam","Startrack","Boost","None"
"Booster.StarryNight","Lunar Wave","Boost","None"
"Booster.Sticky01","Web-Head","Boost","Marvel"
"Booster.Sticky02","Pumpkin Bomb","Boost","Marvel"
"Booster.Stylized","Polygonal","Boost","None"
"Booster.StylizedFlame","Jet Wash","Boost","None"
"Booster.StylizedSmoke","Spooky Smoke","Boost","None"
"Booster.StylizedStrike","Clashflash","Boost","None"
"Booster.Sunrays","Sun Ray","Boost","None"
"Booster.Surrealrush","Surrealist","Boost","None"
"Booster.Techno","Mystic Fade","Boost","None"
"Booster.Technotrail","Tachyon","Boost","None"
"Booster.TechRay","TekRay","Boost","None"
"Booster.ToonyWaterPSP","Torrent PK","Boost","None"
"Booster.Trace","Stormroot","Boost","None"
"Booster.TurboTechno","Spriteful","Boost","None"
"Booster.VoxelLightning","Pixel Dust","Boost","None"
"Booster.Xenosplash","Xenosplash","Boost","None"
"Booster.Zti","Magic Missile","Boost","None"
"DriftTrail.Animatedlines","Wonder Stream","Trail","None"
"DriftTrail.Anime","Yokai","Trail","None"
"DriftTrail.AstralRadiance","Lunaria","Trail","None"
"DriftTrail.Aventurine","Miku Miku","Trail","Icon"
"DriftTrail.Banjo","Mystery Groove","Trail","None"
"DriftTrail.Binary","Binary","Trail","None"
"DriftTrail.BlackFlame","Dark Flame","Trail","None"
"DriftTrail.BlightShield01","Soul Reaper Drift","Trail","None"
"DriftTrail.BlueBolt","Synthpop","Trail","None"
"DriftTrail.Chrome","Crossfade","Trail","None"
"DriftTrail.Classic","Classic","Trail","None"
"DriftTrail.Courgette01","Remy's Taste","Trail","None"
"DriftTrail.CrimeTape","Crime Scene","Trail","None"
"DriftTrail.CyberSecurity","Futurist","Trail","None"
"DriftTrail.Dagger","Bladeblast","Trail","None"
"DriftTrail.Daikon","Snowball","Trail","None"
"DriftTrail.DayNight","Starlane","Trail","None"
"DriftTrail.DecoBlue","Demigodly","Trail","None"
"DriftTrail.DecoRed","Demigodly","Trail","None"
"DriftTrail.Deepspace","Deep Space","Trail","None"
"DriftTrail.Disco","Disco Floor","Trail","None"
"DriftTrail.Doughnut","Dunker","Trail","None"
"DriftTrail.Dragoncat","Treble Trouble","Trail","Icon"
"DriftTrail.DragoncatLTE","Bad Bass","Trail","None"
"DriftTrail.Eggplant","Batmobile (1989)","Trail","None"
"DriftTrail.Electrobeam","Truth Beam","Trail","None"
"DriftTrail.ElectroGalactic","Electrogalactic","Trail","None"
"DriftTrail.Ethereal","Ethereal","Trail","None"
"DriftTrail.EvilOrnament","Force Lightning","Trail","Star Wars"
"DriftTrail.Fireflies","Glister","Trail","None"
"DriftTrail.ForestSpirit","Foliage","Trail","None"
"DriftTrail.FrogLTE2","TCRI Ooze","Trail","None"
"DriftTrail.Frost","Winter Storm","Trail","None"
"DriftTrail.Gaudy","Big Break","Trail","None"
"DriftTrail.GenieSmoke","Whimsy Wisp","Trail","None"
"DriftTrail.Glaucous","Vaporstream","Trail","None"
"DriftTrail.Goth","Goth","Trail","None"
"DriftTrail.GPS","Waypoint","Trail","None"
"DriftTrail.Gray","AC Milan (Puma x Off-White)","Trail","PUMA"
"DriftTrail.GreyCar","Time Flames","Trail","None"
"DriftTrail.GroundCracks","Excavator","Trail","None"
"DriftTrail.HeartBeat","EKG-OMG","Trail","None"
"DriftTrail.Helix","Cure","Trail","None"
"DriftTrail.Hero","Frozone's Slipstream","Trail","None"
"DriftTrail.HoloGlass","Holo-Hype","Trail","None"
"DriftTrail.HoneyBees","Honey Splash","Trail","None"
"DriftTrail.InfraredGlow","Infrared","Trail","None"
"DriftTrail.InkyOil","Plasma","Trail","None"
"DriftTrail.KittyRare","PUMA Run","Trail","PUMA"
"DriftTrail.Lava2","Energy Binders","Trail","Star Wars"
"DriftTrail.Lightning","Lightning","Trail","None"
"DriftTrail.LionsMane01","Bikini Bottom","Trail","None"
"DriftTrail.LPFire","2.5D","Trail","None"
"DriftTrail.Luminoussparks","Luminous","Trail","None"
"DriftTrail.Magical","Misteek","Trail","None"
"DriftTrail.MagicFire","Incantor","Trail","None"
"DriftTrail.MagicSplash","Sea Spray","Trail","None"
"DriftTrail.Magma","Molten","Trail","None"
"DriftTrail.Mooncake","Tornado Marks","Trail","None"
"DriftTrail.Necromancer","Rocketmancer","Trail","None"
"DriftTrail.NeoCypher","Psypher","Trail","None"
"DriftTrail.Neonshapes","Triangulate","Trail","None"
"DriftTrail.Neonsoul","Gaseous","Trail","None"
"DriftTrail.Octo","Octonox","Trail","None"
"DriftTrail.OilSlick","Oil Slick","Trail","None"
"DriftTrail.PlasmaEnergy","Chemergy","Trail","None"
"DriftTrail.Plexus","?INT?Product","Trail","None"
"DriftTrail.PopStar","Starry","Trail","None"
"DriftTrail.Powerbeam","Mosher","Trail","None"
"DriftTrail.Psychomatic","Psychomatic","Trail","None"
"DriftTrail.PsyDrill","Firecrack","Trail","None"
"DriftTrail.PulsedEnergy","Sonic Boom","Trail","None"
"DriftTrail.RageUnleashed","Spiritus","Trail","None"
"DriftTrail.Ramen","Ramen Roller","Trail","None"
"DriftTrail.RP10Year","Mystic Streamer","Trail","None"
"DriftTrail.S19ChampionsRoadLTE","Champ Helix","Trail","None"
"DriftTrail.Sakura","Sakura","Trail","None"
"DriftTrail.ScifiStreak","Lightspeed","Trail","None"
"DriftTrail.Scribble","Scribbler","Trail","None"
"DriftTrail.SkullChromatic","Skelly","Trail","None"
"DriftTrail.Smoke","Smokin","Trail","None"
"DriftTrail.Splitenergy","Wing Wraith","Trail","None"
"DriftTrail.Sprinkle","Donut Drift","Trail","None"
"DriftTrail.SprinkleLTE01","Chalkboard Lines","Trail","None"
"DriftTrail.Standard","Drift Smoke","Trail","None"
"DriftTrail.Starbeam","Startrack","Trail","None"
"DriftTrail.StarryNight","Lunar Wave","Trail","None"
"DriftTrail.Sticky","Symbiote","Trail","Marvel"
"DriftTrail.Sticky02","Web-Head","Trail","Marvel"
"DriftTrail.Strobe","Discotheque","Trail","None"
"DriftTrail.StylizedFlame","Jet Wash","Trail","None"
"DriftTrail.StylizedLightning","Sprintspark","Trail","None"
"DriftTrail.StylizedRainbow","Crooked Color","Trail","None"
"DriftTrail.StylizedSmoke","Spooky Smoke","Trail","None"
"DriftTrail.StylizedStrike","Clashflash","Trail","None"
"DriftTrail.Surrealrush","Surrealist","Trail","None"
"DriftTrail.Techno","Mystic Fade","Trail","None"
"DriftTrail.Toonflames","Blazer","Trail","None"
"DriftTrail.Toonrocks","Hot Rocks","Trail","None"
"DriftTrail.ToonSparks","Friction","Trail","None"
"DriftTrail.Toonwater","Toon Hydro","Trail","None"
"DriftTrail.Toopher","Mintstripe","Trail","None"
"DriftTrail.TrailBlazer","Sparklet","Trail","None"
"DriftTrail.ZigZag","Zigzag","Trail","None"
"Skin.AA.Flamestierall","Ace: Flames","Decal","None"
"Skin.AA.Lightningtierall","Ace: Lightning","Decal","None"
"Skin.AA.Livery1","Ace: Ball Hog","Decal","None"
"Skin.AA.Livery2","Ace: Rewind","Decal","None"
"Skin.AA.Livery3","Ace: Ret-Con","Decal","None"
"Skin.AA.Livery4","Ace: Farout","Decal","None"
"Skin.AA.Stripestierall","Ace: Stripes","Decal","None"
"Skin.AA.Zebra","Ace: Radify","Decal","None"
"Skin.Aftershock.Techarrows","Aftershock: Vector","Decal","None"
"Skin.AkumaT1.Flames","Nissan Fairlady Z: Flames","Decal","Nissan"
"Skin.AkumaT1.Lightning","Nissan Fairlady Z: Lightning","Decal","Nissan"
"Skin.AkumaT1.Livery1","Nissan Fairlady Z: Starting Grid","Decal","Nissan"
"Skin.AkumaT1.Livery2","Nissan Fairlady Z: Nissan Classic","Decal","Nissan"
"Skin.AkumaT1.Livery3","Nissan Fairlady Z: Notstock","Decal","Nissan"
"Skin.AkumaT1.Stripes","Nissan Fairlady Z: Stripes","Decal","Nissan"
"Skin.AkumaT1.Wings","Nissan Fairlady Z: Wings","Decal","Nissan"
"Skin.AkumaT2.Flames","Nissan Fairlady Z RLE: Flames","Decal","Nissan"
"Skin.AkumaT2.Lightning","Nissan Fairlady Z RLE: Lightning","Decal","Nissan"
"Skin.AkumaT2.Livery1","Nissan Fairlady Z RLE: Starting Grid","Decal","Nissan"
"Skin.AkumaT2.Livery2","Nissan Fairlady Z RLE: Nissan Classic","Decal","Nissan"
"Skin.AkumaT2.Livery3","Nissan Fairlady Z RLE: Notstock","Decal","Nissan"
"Skin.AkumaT2.Stripes","Nissan Fairlady Z RLE: Stripes","Decal","Nissan"
"Skin.AkumaT2.Wings","Nissan Fairlady Z RLE: Wings","Decal","Nissan"
